SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,GradeTested,ELATotalTestedNotTested,ELATotalTested,ELAMetStandardIncludingPrevPass,ELAPercentMetStandardIncludingPrevPass,ELAMetStandardWithoutPrevPass,ELAPercentMetStandardWithoutPrevPass,ELAPercentMetStandardExcludingNoScore,ELALevel1,ELAPercentLevel1,ELALevel2,ELAPercentLevel2,ELALevelBasic,ELAPercentLevelBasic,ELALevel3,ELAPercentLevel3,ELALevel4,ELAPercentLevel4,ELANoScore,ELAPercentNoScore,ELANotMet,ELAPercentNotMet,ELAExcusedAbsence,ELAExempted,ELAWAASPORT,ELAWAASDAPE,MathTotalTestedNotTested,MathTotalTested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,ELALevelIndex,MathLevelIndex
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,3,1,1,1,100,1,100,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,,,,,1,1,1,100,1,100,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,,,,,3,3
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,4,3,3,2,66.59,2,66.59,66.7,0,0,1,33.29,0,0,2,66.59,0,0,0,0,1,33.29,,,,,3,3,3,100,3,100,100,0,0,0,0,0,0,2,66.59,1,33.29,0,0,0,0,,,,,2.66,3.33
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,5,5,5,3,60,3,60,60,0,0,2,40,0,0,3,60,0,0,0,0,2,40,,,,,5,5,3,60,3,60,60,0,0,2,40,0,0,1,20,2,40,0,0,2,40,,,,,2.6,3
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,6,7,6,5,71.4,5,71.4,83.3,0,0,1,14.19,0,0,5,71.4,0,0,1,14.19,2,28.5,,,,,7,6,1,14.19,1,14.19,16.7,1,14.19,4,57.1,0,0,0,0,1,14.19,1,14.19,6,85.7,,,,,2.43,1.85
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,7,2,2,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,2,100,,,,,2,2,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,2,100,,,,,2,2
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,8,3,2,1,33.29,1,33.29,50,0,0,1,33.29,0,0,0,0,1,33.29,1,33.29,2,66.59,,3,,,3,2,0,0,0,0,0,1,33.29,1,33.29,0,0,0,0,0,0,1,33.29,3,100,,3,,,2,1
2014-15,Educational Service District 101,01,Adams,01109,Washtucna School District,3075,Washtucna Elementary/High School,11,3,3,3,100,3,100,100,0,0,0,0,0,0,3,100,0,0,0,0,0,0,,,,,3,3,0,0,0,0,0,2,66.59,1,33.29,0,0,0,0,0,0,0,0,3,100,,,,,3,1.33
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,3142,Benge Elementary,3,1,1,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,,,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,,,,1,0
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,3142,Benge Elementary,4,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,,,,0,0
2014-15,Educational Service District 101,01,Adams,01122,Benge School District,3142,Benge Elementary,5,1,1,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,,,,,1,1,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,,,,,2,2
